dataset,Time,accuracy,loss,layers,Ephoch,hidden layers,weight decay,learning rate,Order of Phases
cora,1.0774729251861572,0.821,0.6388628482818604,2,200,16,5e-05,0.01,2
cora,1.1088619232177734,0.837,0.6097874641418457,2,200,16,0.0001,0.01,2
cora,1.067004919052124,0.799,0.833676815032959,2,200,16,0.001,0.01,2
cora,1.0828311443328857,0.787,0.9409672021865845,2,200,16,0.0015,0.01,2
cora,1.079477071762085,0.743,1.129308819770813,2,200,16,0.002,0.01,2
cora,1.0759508609771729,0.681,1.2276315689086914,2,200,16,0.0025,0.01,2
cora,1.0729889869689941,0.608,1.2926145792007446,2,200,16,0.003,0.01,2
cora,1.0659208297729492,0.467,1.4682629108428955,2,200,16,0.004,0.01,2
cora,1.0911140441894531,0.433,1.58751380443573,2,200,16,0.005,0.01,2
