dataset,Time,accuracy,loss,layers,Ephoch,hidden layers,weight decay,learning rate,Order of Phases
cora,1.0756731033325195,0.827,0.7239348888397217,2,200,16,0.0005,0.01,2
cora,1.0805470943450928,0.834,0.6073665618896484,2,200,16,0.0005,0.05,2
cora,1.0693607330322266,0.829,0.5872122049331665,2,200,16,0.0005,0.1,2
cora,1.0927140712738037,0.772,0.7384224534034729,2,200,16,0.0005,0.5,2
cora,1.0763959884643555,0.309,1.8902369737625122,2,200,16,0.0005,1.0,2
cora,1.0678491592407227,0.309,1.887118935585022,2,200,16,0.0005,0.9,2
cora,1.0660762786865234,0.843,0.5675013065338135,2,200,16,0.0005,0.2,2
cora,1.0934011936187744,0.832,0.6141868233680725,2,200,16,0.0005,0.3,2
cora,1.0883002281188965,0.805,0.6620122194290161,2,200,16,0.0005,0.4,2
